| Tue Oct  5 21:06:24 2010 |  | 127.0.0.1 | {DefaultUrlHost} | http://frigo.aws.hexasas.com |
| Tue Oct  5 21:06:24 2010 |  | 127.0.0.1 | {ScriptUrlPath} | /bin |
| Tue Oct  5 21:06:24 2010 |  | 127.0.0.1 | {ScriptDir} | /var/www/foswiki/fosFrigo/bin |
| Tue Oct  5 21:06:24 2010 |  | 127.0.0.1 | {PubUrlPath} | /pub |
| Tue Oct  5 21:06:24 2010 |  | 127.0.0.1 | {PubDir} | /var/www/foswiki/fosFrigo/pub |
| Tue Oct  5 21:06:24 2010 |  | 127.0.0.1 | {DataDir} | /var/www/foswiki/fosFrigo/data |
| Tue Oct  5 21:06:24 2010 |  | 127.0.0.1 | {ToolsDir} | /var/www/foswiki/fosFrigo/tools |
| Tue Oct  5 21:06:24 2010 |  | 127.0.0.1 | {TemplateDir} | /var/www/foswiki/fosFrigo/templates |
| Tue Oct  5 21:06:24 2010 |  | 127.0.0.1 | {LocalesDir} | /var/www/foswiki/fosFrigo/locale |
| Tue Oct  5 21:06:24 2010 |  | 127.0.0.1 | {WorkingDir} | /var/www/foswiki/fosFrigo/working |
| Tue Oct  5 21:06:24 2010 |  | 127.0.0.1 | {OS} | UNIX |
| Tue Oct  5 21:06:24 2010 |  | 127.0.0.1 | {DetailedOS} | linux |
| Tue Oct  5 21:07:44 2010 |  | 127.0.0.1 | {Site}{CharSet} | iso-8859-1 |
| Tue Oct  5 21:07:44 2010 |  | 127.0.0.1 | {WebMasterEmail} | foswiki@hexa.co |
| Tue Oct  5 21:07:44 2010 |  | 127.0.0.1 | {SMTP}{MAILHOST} | aspmx.l.google.com. |
| Tue Oct  5 21:07:44 2010 |  | 127.0.0.1 | {SMTP}{SENDERHOST} | h |
| Tue Oct  5 21:08:55 2010 |  | 127.0.0.1 | {SMTP}{SENDERHOST} | hexasas.com |
| Tue Oct  5 21:08:55 2010 |  | 127.0.0.1 | {SMTP}{Username} | foswiki |
| Tue Oct  5 21:08:55 2010 |  | 127.0.0.1 | {SMTP}{Password} | mandrilenano |
| Tue Oct  5 21:10:41 2010 |  | 127.0.0.1 | {Register}{AllowLoginName} | 1 |
| Thu Oct  7 21:23:12 2010 |  | 127.0.0.1 | {Plugins}{AutoTemplatePlugin}{Module} | Foswiki::Plugins::AutoTemplatePlugin |
| Thu Oct  7 21:23:12 2010 |  | 127.0.0.1 | {Plugins}{DBCachePlugin}{Enabled} | 1 |
| Thu Oct  7 21:23:12 2010 |  | 127.0.0.1 | {Plugins}{DBCachePlugin}{Module} | Foswiki::Plugins::DBCachePlugin |
| Thu Oct  7 21:23:12 2010 |  | 127.0.0.1 | {Plugins}{EditChapterPlugin}{Module} | Foswiki::Plugins::EditChapterPlugin |
| Thu Oct  7 21:23:12 2010 |  | 127.0.0.1 | {Plugins}{FlexWebListPlugin}{Module} | Foswiki::Plugins::FlexWebListPlugin |
| Thu Oct  7 21:23:12 2010 |  | 127.0.0.1 | {Plugins}{GenPDFAddOnPlugin}{Module} | Foswiki::Plugins::GenPDFAddOnPlugin |
| Thu Oct  7 21:23:12 2010 |  | 127.0.0.1 | {Plugins}{GluePlugin}{Module} | Foswiki::Plugins::GluePlugin |
| Thu Oct  7 21:23:12 2010 |  | 127.0.0.1 | {Plugins}{HijaxPlugin}{Module} | Foswiki::Plugins::HijaxPlugin |
| Thu Oct  7 21:23:12 2010 |  | 127.0.0.1 | {Plugins}{ObjectPlugin}{Module} | Foswiki::Plugins::ObjectPlugin |
| Thu Oct  7 21:23:12 2010 |  | 127.0.0.1 | {Plugins}{ZonePlugin}{Module} | Foswiki::Plugins::ZonePlugin |
| Thu Oct  7 21:24:18 2010 |  | 127.0.0.1 | {Plugins}{GluePlugin}{Enabled} | 1 |
| Sun Oct 10 20:17:18 2010 |  | 127.0.0.1 | {Plugins}{AutoTemplatePlugin}{Enabled} | 1 |
| Sun Oct 10 20:17:18 2010 |  | 127.0.0.1 | {Plugins}{EditChapterPlugin}{Enabled} | 1 |
| Sun Oct 10 20:17:18 2010 |  | 127.0.0.1 | {Plugins}{FlexWebListPlugin}{Enabled} | 1 |
| Sun Oct 10 20:17:18 2010 |  | 127.0.0.1 | {Plugins}{GenPDFAddOnPlugin}{Enabled} | 1 |
| Sun Oct 10 20:17:18 2010 |  | 127.0.0.1 | {Plugins}{ObjectPlugin}{Enabled} | 1 |
| Sun Oct 10 20:17:19 2010 |  | 127.0.0.1 | {Plugins}{ZonePlugin}{Enabled} | 1 |
| Mon Oct 11 00:14:22 2010 |  | 127.0.0.1 | {Plugins}{AutoTemplatePlugin}{Override} | 1 |
| Mon Oct 11 00:14:22 2010 |  | 127.0.0.1 | {Plugins}{AutoTemplatePlugin}{Mode} | section,rules, exist |
| Mon Oct 11 00:22:38 2010 |  | 127.0.0.1 | {Plugins}{AutoTemplatePlugin}{Override} |  |
| Mon Oct 11 00:22:38 2010 |  | 127.0.0.1 | {Plugins}{AutoTemplatePlugin}{Mode} | section |
| Mon Oct 11 00:23:24 2010 |  | 127.0.0.1 | {Plugins}{AutoTemplatePlugin}{Debug} | 1 |
| Mon Oct 11 00:34:06 2010 |  | 127.0.0.1 | {Plugins}{AutoViewTemplatePlugin}{Enabled} |  |
| Mon Oct 11 00:35:49 2010 |  | 127.0.0.1 | {Plugins}{AutoTemplatePlugin}{Enabled} |  |
| Mon Oct 11 00:35:49 2010 |  | 127.0.0.1 | {Plugins}{AutoViewTemplatePlugin}{Enabled} | 1 |
| Mon Oct 11 00:35:50 2010 |  | 127.0.0.1 | {Plugins}{AutoViewTemplatePlugin}{Override} | 1 |
| Mon Oct 11 00:35:50 2010 |  | 127.0.0.1 | {Plugins}{AutoViewTemplatePlugin}{Mode} | section |
| Mon Oct 11 00:37:49 2010 |  | 127.0.0.1 | {Plugins}{ZonePlugin}{Enabled} |  |
| Fri Oct 15 22:50:15 2010 |  | 127.0.0.1 | {Plugins}{ApprovalPlugin}{Enabled} | 1 |
| Fri Oct 15 22:50:15 2010 |  | 127.0.0.1 | {Plugins}{ApprovalPlugin}{Module} | Foswiki::Plugins::ApprovalPlugin |
| Fri Oct 15 23:16:03 2010 |  | 127.0.0.1 | {Plugins}{ApprovalPlugin}{Enabled} |  |
| Fri Oct 15 23:16:03 2010 |  | 127.0.0.1 | {Plugins}{WorkflowPlugin}{Enabled} | 1 |
| Fri Oct 15 23:16:03 2010 |  | 127.0.0.1 | {Plugins}{WorkflowPlugin}{Module} | Foswiki::Plugins::WorkflowPlugin |
| Mon Oct 18 22:21:45 2010 |  | 127.0.0.1 | {Plugins}{RevCommentPlugin}{Enabled} | 1 |
| Mon Oct 18 22:21:45 2010 |  | 127.0.0.1 | {Plugins}{RevCommentPlugin}{Module} | Foswiki::Plugins::RevCommentPlugin |
| Mon Oct 18 23:05:58 2010 |  | 127.0.0.1 | {Plugins}{WorkflowViewPlugin}{Enabled} | 1 |
| Mon Oct 18 23:05:58 2010 |  | 127.0.0.1 | {Plugins}{WorkflowViewPlugin}{Module} | Foswiki::Plugins::WorkflowViewPlugin |
| Wed Oct 20 14:31:26 2010 |  | 127.0.0.1 | {JSCalendarContrib}{format} | %Y/%m/%d |
| Wed Oct 27 21:09:52 2010 |  | 127.0.0.1 | {WebMasterEmail} | foswiki@hexasas.co |
| Wed Oct 27 21:10:28 2010 |  | 127.0.0.1 | {WebMasterEmail} | foswiki@hexasas.com |
| Fri Nov  5 17:03:30 2010 |  | 127.0.0.1 | {Plugins}{EditChapterPlugin}{Enabled} |  |
| Fri Nov  5 17:03:31 2010 |  | 127.0.0.1 | {PluginsOrder} | TWikiCompatibilityPlugin,SpreadSheetPlugin,WorkflowViewPlugin,WorkflowPlugin |
| Fri Nov  5 17:05:47 2010 |  | 127.0.0.1 | {PluginsOrder} | TWikiCompatibilityPlugin,SpreadSheetPlugin |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {UserInterfaceInternationalisation} | 1 |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {Languages}{bg}{Enabled} |  |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {Languages}{da}{Enabled} |  |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {Languages}{de}{Enabled} |  |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {Languages}{cs}{Enabled} |  |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {Languages}{fi}{Enabled} |  |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {Languages}{fr}{Enabled} |  |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {Languages}{ja}{Enabled} |  |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {Languages}{it}{Enabled} |  |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {Languages}{ko}{Enabled} |  |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {Languages}{nl}{Enabled} |  |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {Languages}{no}{Enabled} |  |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {Languages}{pl}{Enabled} |  |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {Languages}{pt}{Enabled} |  |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {Languages}{ru}{Enabled} |  |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {Languages}{sv}{Enabled} |  |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {Languages}{tr}{Enabled} |  |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {Languages}{'pt-br'}{Enabled} |  |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {Languages}{'zh-cn'}{Enabled} |  |
| Mon Nov  8 23:19:53 2010 |  | 127.0.0.1 | {Languages}{'zh-tw'}{Enabled} |  |
